est_ratio	ploidy	doublet_prop
0.957515906065025	15	0.0419660944718753
0.949954821529641	12	0.0357849811682897
0.950602277653212	12	0.0467080689239636
0.950063340769968	12	0.0387985200322969
0.955543496501303	15	0.0473262368704379
0.948962363007864	12	0.0480438529121057
0.937394085789511	9	0.0321133304947006
0.938375859008763	9	0.0380270217790899
0.804123978901145	3	0.0134657095476579
0.816899115544902	3	0.012750756269552
0.798353744675761	3	0.0141205919885653
0.934725014273667	9	0.0291144541721877
0.935031616377648	9	0.0303562567835833
0.93599685248365	9	0.0119653313533289
0.905115349547987	6	0.0194893338133692
0.957831551520704	12	0.0479007681339734
0.839526228485086	3	0.0151733213980685
0.903721619266992	6	0.0240624690913425
0.935497954004082	9	0.0303911036719413
0.806376103757559	3	0.0143651164059327
0.939121249632265	9	0.0257622683973497
0.956973927552941	12	0.0376295220508086
0.902894494041715	6	0.0234419265291735
0.957744291092413	15	0.0361379780160515
0.948392180486238	12	0.0367452680405383
0.923571554871707	6	0.0166651421759695
0.949178817497878	12	0.037937547165963
0.817511612424243	3	0.0134728173643838
0.844324237817782	3	0.0174032793222305
0.910778798433398	6	0.0185920841994907
0.952409728314659	12	0.0132566600380804
0.963897055053578	15	0.050747724214108
0.940067311481534	9	0.0289997206767998
0.96365798950531	15	0.0513433764893301
0.831669272773338	3	0.0182022036806059
0.957747595374525	15	0.0419142536835996
0.829408972281364	3	0.013783569738271
0.886629969316278	6	0.0224844950417844
0.91928243953633	6	0.0235580320538548
0.955680810403172	15	0.0406543514891409
0.911444092372784	6	0.0191779131604543
0.942331213119303	12	0.0566809787645972
0.794022773311691	3	0.0132320866402718
0.815511110750668	3	0.0134827568246539
0.787832702539671	3	0.0134812252135504
0.95454682662025	15	0.0266940782596119
0.818470818895504	3	0.0131012676572852
0.947345728266827	12	0.0356297743826612
0.905436840611427	6	0.0183514984661266
0.960830735349103	15	0.0381299407713788
0.946195202035673	12	0.037539925096523
0.953820320685183	12	0.0443344812598215
0.906060017282318	6	0.0208153573499526
0.909523121702485	6	0.0262056276729525
0.951554191656295	12	0.0405710083314024
0.802550225544597	3	0.0155096003843393
0.820489327932947	3	0.0116677053006258
0.949376623962635	12	0.032936080185095
0.930897636304741	9	0.0261560170348074
0.913535417172703	6	0.0208525149793901
0.936289891905676	9	0.0264062329282166
0.803549234230808	3	0.0128978153889092
0.958066017050739	15	0.0276478586941525
0.875105437598654	3	0.0146782314475388
0.961986006950716	15	0.0450574855387282
0.911365898313935	6	0.0202874641324949
0.951596808508493	12	0.0398698642146072
0.959276492860288	15	0.0431846341610555
0.801367520537302	3	0.013968740379039
0.936317935207273	9	0.0264603334412798
0.811813927108806	3	0.0159193614026758
0.946050901203478	12	0.0454464596909261
0.935257826765364	9	0.0277989316744202
0.909463792029206	6	0.0173725994558755
0.908414956263266	6	0.0229430058480827
0.801221448557637	3	0.0120812406865721
0.942001068748158	12	0.0144119395790395
0.957334786605718	15	0.0387040860861625
0.936438125417788	9	0.025739749383637
0.920451705967781	6	0.0223149910188694
0.961493408144744	15	0.0462923009125796
0.949665241438573	12	0.033095905770048
0.825533282045831	3	0.0160780857994178
0.802714579149708	3	0.0136637931034483
0.81511891291438	3	0.0135537489327034
0.932838309260145	9	0.0265638266896618
0.959773343955874	15	0.0366387152504532
0.959002415397483	15	0.0417069829918645
0.915740135376435	6	0.0247481458605445
0.795868836064286	3	0.0154248360151255
0.809679466871611	3	0.00812885477215246
0.797206916479638	3	0.0137546113315486
0.803861913272288	3	0.0161401734795572
0.804537203958973	3	0.0180039885100066
0.928971757786623	6	0.0302330072277541
0.956946909382908	15	0.0488494530256147
0.938206556193186	9	0.0316543784034737
0.95191907481411	12	0.0373297776579716
0.926360471390907	9	0.022354805802345
0.805650385366501	3	0.0140654551835748
0.954032181856169	15	0.0382385210012075
0.949118588749079	12	0.0444959579123468
0.938083911374318	9	0.0279748918485865
0.957949082482817	12	0.0328425775081456
0.775396112685956	3	0.0120659952183578
0.912111224889804	6	0.0231690514571597
0.958338684460558	15	0.0482665524273621
0.947962307135423	12	0.0362739678181551
0.963222356839506	15	0.0417769291130594
0.938221879923888	9	0.0318074226500758
0.948183414549475	12	0.0407315475530074
0.957368246268877	15	0.0407388681527305
0.935506431267741	9	0.0347195134494208
0.910162894499844	6	0.0215801494556179
0.932999147097925	9	0.0267468275946544
0.945997700491512	12	0.0394421146981008
0.950174128686443	12	0.0427253990921826
0.904792376335582	6	0.0232575345106508
0.908813150273299	6	0.0230184697228917
0.905939224498965	6	0.0184858039608029
0.935009638077103	9	0.0286621779553626
0.903050191468239	6	0.0203610942227435
0.945765688342298	12	0.036910453255043
0.945632905064415	12	0.0334337600564927
0.935657389680427	9	0.0272781344135203
0.937860560917959	9	0.0277654439326693
0.805456278296397	3	0.00558716188863377
0.90388548874861	6	0.020830093369426
0.950513489686637	12	0.0343452209708296
0.937575624286039	9	0.0261233032345889
0.907995724840973	6	0.0225913422151159
0.911305760878417	6	0.0204354415622268
0.940545363334622	9	0.0316533070656764
0.802495755566052	3	0.0124676784710512
0.953891431468468	12	0.0367148729788405
0.911085784602138	6	0.02073383045593
0.799524471887257	3	0.0165330306575483
0.937287442376752	9	0.0280603763300541
0.961011470894608	15	0.0424688198931412
0.956800870721124	15	0.0437040417203782
0.80215203396486	3	0.012890300641879
0.957563993391833	15	0.0307469058949558
0.942157539531583	9	0.0317091269818204
0.9450078483872	9	0.0351762331772391
0.938330105741776	9	0.0278049566564351
0.814673447935096	3	0.013172904626101
0.939384041944859	9	0.0284091953853905
0.876732450858592	3	0.0181943376889572
0.8180469020565	3	0.0147528468521862
0.893190359706606	6	0.0192744287318251
0.906685919537475	6	0.0198418144957225
0.959614402835832	15	0.0399917790963636
0.912242837073225	6	0.0201369349875954
0.933053704577934	9	0.0264837135079702
0.814218685192814	3	0.0147363083623457
0.947439506179248	12	0.0418910970497436
0.940535819444558	9	0.0329138300205966
0.844331935068435	3	0.0160173866662421
0.949164690873974	12	0.0377596745057183
0.818155866400618	3	0.0159351522340846
0.950810910134139	12	0.0427013762139881
0.950447082926184	12	0.0394042720089366
0.932983762880979	9	0.0304505430696902
0.805456298119572	3	0.0148389346290548
0.950072237816598	12	0.0421335217778535
0.945432247573244	12	0.0346472952225539
0.910829308528597	6	0.01804550956664
0.906775387580926	6	0.0250841946901979
0.947351653069477	12	0.046095252546696
0.904482048731565	6	0.0198425657189054
0.817822979262123	3	0.0106465910862641
0.962982598946623	15	0.0464820770787778
0.949761607278488	12	0.036735713413357
0.812839515864833	3	0.0114297881275109
0.985428632263788	15	0.034161428779044
0.910818899159624	6	0.0239283915767962
0.912038820528233	6	0.0199131331640156
0.933516331485466	9	0.0271119916701568
0.911860570740183	6	0.0239579159003863
0.956178235758531	15	0.0439160042649337
0.829280557813243	3	0.0126709398424971
0.96484657395695	15	0.0475347492200675
0.960681245580788	15	0.040642536507137
0.948962102093427	12	0.0412527904746409
0.960153165301995	15	0.043955259383123
0.946548807610901	12	0.0387013307014878
0.90557210618748	6	0.0214752224001033
0.932872376934771	9	0.0231865284353549
0.955643235996644	12	0.0381436605410344
0.94802634280632	12	0.0368974838387771
0.816418043577638	3	0.0145736063909199
0.939323791916804	9	0.0270025004478995
0.914154056554223	6	0.0246961427943581
0.811013775147958	3	0.0139342246334073
0.952735126802795	12	0.0378633627746053
0.948013679819702	12	0.0387517631124438
0.924049477357228	6	0.0189749926055968
0.906495064272285	6	0.0218391407780577
0.851986818445922	3	0.0132089104175359
0.950075939338838	12	0.0384130058158773
0.94909901672034	12	0.0393431235976888
0.907996411143742	6	0.022816269841916
0.957042654738363	15	0.041166430796477
0.947350249686382	12	0.037968260353164
0.808718946621829	3	0.0130203642549785
0.90995647768333	6	0.0201950527982822
0.947934247663832	12	0.0290969729995745
0.937419558408874	9	0.0320849017293676
0.805863392118484	3	0.0221905794478905
0.927201634235358	6	0.0302422148477425
0.90287287391172	6	0.0199262427979084
0.945136427523305	12	0.0521421658692149
0.863512402950412	3	0.0138208987324609
0.852798394731977	6	0.00909400771649446
0.955087532231768	12	0.0450734351232225
0.909662819267013	6	0.0231873220842444
0.950010830395038	12	0.0404128900843871
0.950238459365155	12	0.0352025922620112
0.96642198613299	15	0.0462519249056924
0.948056537129393	12	0.0367743153472451
0.808871039897405	3	0.0126250583037666
